trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2001,False,"{'a': 0.01, 'e': 0.1353352832366127}",20,2,35.24189764640104,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2002,False,"{'a': 0.01, 'e': 0.13520001559846748}",20,14,10.78459815357456,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2003,False,"{'a': 0.01, 'e': 0.13506488316034906}",20,0,2.487766184491578,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
2004,False,"{'a': 0.01, 'e': 0.13492988578712511}",25,10,26.925851046393994,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2005,False,"{'a': 0.01, 'e': 0.1347950233437982}",25,18,12.678968108954837,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2006,False,"{'a': 0.01, 'e': 0.13466029569550586}",25,13,11.531004468798857,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
2007,False,"{'a': 0.01, 'e': 0.1345257027075204}",25,17,15.147916222319035,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2008,False,"{'a': 0.01, 'e': 0.1343912442452489}",30,18,-21.68205656502247,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
2009,False,"{'a': 0.01, 'e': 0.13425692017423285}",25,18,15.760429124796158,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2010,False,"{'a': 0.01, 'e': 0.13412273036014816}",20,11,4.813235918095918,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
2011,False,"{'a': 0.01, 'e': 0.13398867466880493}",20,0,14.921672815682971,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
2012,False,"{'a': 0.01, 'e': 0.13385475296614763}",25,11,27.907983637103012,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2013,False,"{'a': 0.01, 'e': 0.1337209651182544}",25,18,14.35220175243572,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2014,False,"{'a': 0.01, 'e': 0.13358731099133747}",25,14,22.05603308494573,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2015,False,"{'a': 0.01, 'e': 0.1334537904517426}",20,5,-28.9233195009544,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
2016,False,"{'a': 0.01, 'e': 0.13332040336594936}",20,0,18.26875790615154,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
2017,False,"{'a': 0.01, 'e': 0.1331871496005706}",20,13,9.746406399213795,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2018,False,"{'a': 0.01, 'e': 0.13305402902235253}",25,4,10.742138485367441,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
2019,False,"{'a': 0.01, 'e': 0.13292104149817452}",25,8,31.75542038241162,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2020,False,"{'a': 0.01, 'e': 0.13278818689504915}",30,7,32.69142667525501,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
2021,False,"{'a': 0.01, 'e': 0.13265546508012172}",20,12,14.183279043403765,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2022,False,"{'a': 0.01, 'e': 0.13252287592067044}",30,13,34.97888385999209,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2023,False,"{'a': 0.01, 'e': 0.13239041928410605}",20,12,-18.59919487674734,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
2024,False,"{'a': 0.01, 'e': 0.13225809503797206}",20,12,7.4404936478492045,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
2025,False,"{'a': 0.01, 'e': 0.1321259030499441}",30,0,24.29711524562644,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
2026,False,"{'a': 0.01, 'e': 0.13199384318783022}",20,12,12.987519589726329,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2027,False,"{'a': 0.01, 'e': 0.13186191531957048}",20,11,7.73345121874551,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
2028,False,"{'a': 0.01, 'e': 0.13173011931323708}",25,10,24.36643459676462,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2029,False,"{'a': 0.01, 'e': 0.131598455037034}",20,12,14.588698424633991,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2030,False,"{'a': 0.01, 'e': 0.13146692235929688}",20,1,29.20233645352645,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2031,False,"{'a': 0.01, 'e': 0.13133552114849303}",25,18,15.333504943037811,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2032,False,"{'a': 0.01, 'e': 0.13120425127322136}",20,0,7.302025298285668,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
2033,False,"{'a': 0.01, 'e': 0.13107311260221188}",20,6,21.959911098407645,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2034,False,"{'a': 0.01, 'e': 0.13094210500432593}",20,6,23.097666385921244,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2035,False,"{'a': 0.01, 'e': 0.13081122834855582}",25,15,17.707352284406422,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2036,False,"{'a': 0.01, 'e': 0.13068048250402503}",25,11,24.864651111990675,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
