trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2353,False,"{'a': 0.01, 'e': 0.09517861450234763}",20,16,9.68763854169589,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2354,False,"{'a': 0.01, 'e': 0.09508348346129337}",30,16,-17.91514574284665,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
2355,False,"{'a': 0.01, 'e': 0.09498844750373053}",25,3,36.567514302094374,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2356,False,"{'a': 0.01, 'e': 0.09489350653462311}",30,20,16.156979346629424,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2357,False,"{'a': 0.01, 'e': 0.09479866045903014}",25,16,17.1459882838692,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2358,False,"{'a': 0.01, 'e': 0.09470390918210547}",30,8,39.62127406945524,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2359,False,"{'a': 0.01, 'e': 0.09460925260909793}",25,11,22.955783264215437,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2360,False,"{'a': 0.01, 'e': 0.09451469064535088}",25,3,30.414660624862414,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
2361,False,"{'a': 0.01, 'e': 0.09442022319630235}",20,10,16.655624472222733,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2362,False,"{'a': 0.01, 'e': 0.09432585016748485}",20,0,29.65586021595051,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2363,False,"{'a': 0.01, 'e': 0.0942315714645254}",20,7,-10.32066017562539,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
2364,False,"{'a': 0.01, 'e': 0.09413738699314529}",25,5,36.117620481181454,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2365,False,"{'a': 0.01, 'e': 0.09404329665916}",25,1,-27.06941056384451,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
2366,False,"{'a': 0.01, 'e': 0.09394930036847918}",20,15,8.162741115374827,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2367,False,"{'a': 0.01, 'e': 0.09385539802710659}",20,0,31.66502038378341,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2368,False,"{'a': 0.01, 'e': 0.09376158954113986}",25,19,-3.1038736301837853,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
2369,False,"{'a': 0.01, 'e': 0.09366787481677047}",20,8,8.280796679666429,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
2370,False,"{'a': 0.01, 'e': 0.09357425376028367}",20,16,7.650444194763824,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2371,False,"{'a': 0.01, 'e': 0.09348072627805847}",20,9,20.217981404776918,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2372,False,"{'a': 0.01, 'e': 0.09338729227656732}",30,20,13.677165415097704,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
2373,False,"{'a': 0.01, 'e': 0.09329395166237625}",25,18,9.201647455356811,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2374,False,"{'a': 0.01, 'e': 0.09320070434214457}",20,14,11.030716652410113,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2375,False,"{'a': 0.01, 'e': 0.09310755022262504}",20,15,6.1111691710853355,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2376,False,"{'a': 0.01, 'e': 0.09301448921066349}",25,11,26.49825177053747,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2377,False,"{'a': 0.01, 'e': 0.0929215212131989}",25,17,16.250078191095348,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2378,False,"{'a': 0.01, 'e': 0.09282864613726323}",25,13,28.126983514461493,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2379,False,"{'a': 0.01, 'e': 0.09273586388998147}",25,17,17.119937315290095,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2380,False,"{'a': 0.01, 'e': 0.09264317437857132}",30,12,26.556999966889673,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2381,False,"{'a': 0.01, 'e': 0.09255057751034329}",20,0,-31.662043502221632,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
2382,False,"{'a': 0.01, 'e': 0.09245807319270043}",30,19,3.241123063154347,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
2383,False,"{'a': 0.01, 'e': 0.0923656613331385}",20,4,23.325088933000796,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2384,False,"{'a': 0.01, 'e': 0.09227334183924561}",20,10,17.61896549866681,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2385,False,"{'a': 0.01, 'e': 0.09218111461870225}",25,13,23.005000685872336,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2386,False,"{'a': 0.01, 'e': 0.09208897957928115}",20,3,4.519068164221919,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
2387,False,"{'a': 0.01, 'e': 0.09199693662884734}",35,17,31.310077093930396,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2388,False,"{'a': 0.01, 'e': 0.09190498567535783}",20,8,21.903225726134963,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2389,False,"{'a': 0.01, 'e': 0.09181312662686165}",25,6,19.477896691806976,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
2390,False,"{'a': 0.01, 'e': 0.09172135939149971}",30,10,20.80900013068797,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
2391,False,"{'a': 0.01, 'e': 0.09162968387750484}",30,16,14.440967700652763,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
2392,False,"{'a': 0.01, 'e': 0.09153809999320149}",35,16,25.99894032403577,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
2393,False,"{'a': 0.01, 'e': 0.09144660764700575}",25,9,19.50096650929849,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
2394,False,"{'a': 0.01, 'e': 0.09135520674742525}",20,10,20.984100195720274,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2395,False,"{'a': 0.01, 'e': 0.09126389720305915}",30,24,8.802966984904764,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2396,False,"{'a': 0.01, 'e': 0.09117267892259785}",20,8,20.55891270837732,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2397,False,"{'a': 0.01, 'e': 0.09108155181482308}",35,19,30.7534194028552,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2398,False,"{'a': 0.01, 'e': 0.09099051578860767}",30,2,37.40019334690126,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
2399,False,"{'a': 0.01, 'e': 0.09089957075291567}",20,13,13.724182370404801,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2400,False,"{'a': 0.01, 'e': 0.090808716616802}",20,5,24.423864773279732,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2401,False,"{'a': 0.01, 'e': 0.09071795328941251}",25,13,0.39106154985270547,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
2402,False,"{'a': 0.01, 'e': 0.09062728067998384}",20,0,33.040541722398835,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2403,False,"{'a': 0.01, 'e': 0.09053669869784343}",20,7,23.898101546449364,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2404,False,"{'a': 0.01, 'e': 0.09044620725240926}",25,12,27.733089135849497,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2405,False,"{'a': 0.01, 'e': 0.0903558062531899}",20,8,20.859369640018745,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2406,False,"{'a': 0.01, 'e': 0.09026549560978427}",20,3,26.934661259406276,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2407,False,"{'a': 0.01, 'e': 0.0901752752318818}",25,11,-19.702227996400378,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
2408,False,"{'a': 0.01, 'e': 0.0900851450292621}",20,13,14.306443000863876,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2409,False,"{'a': 0.01, 'e': 0.08999510491179491}",25,18,10.532816590159578,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2410,False,"{'a': 0.01, 'e': 0.08990515478944011}",25,15,20.08944659942287,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2411,False,"{'a': 0.01, 'e': 0.08981529457224763}",20,8,21.75197733124522,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2412,False,"{'a': 0.01, 'e': 0.0897255241703572}",30,8,39.464958597427945,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2413,False,"{'a': 0.01, 'e': 0.08963584349399842}",30,22,14.663587542311133,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2414,False,"{'a': 0.01, 'e': 0.08954625245349057}",25,0,25.30429063208644,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
2415,False,"{'a': 0.01, 'e': 0.08945675095924267}",20,7,13.011625723359135,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
2416,False,"{'a': 0.01, 'e': 0.08936733892175319}",25,14,23.28945771656217,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2417,False,"{'a': 0.01, 'e': 0.08927801625161007}",20,0,20.37162983071573,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
2418,False,"{'a': 0.01, 'e': 0.08918878285949061}",30,18,20.823070094470005,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2419,False,"{'a': 0.01, 'e': 0.08909963865616147}",25,9,32.28943201632693,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2420,False,"{'a': 0.01, 'e': 0.08901058355247843}",20,8,23.26676530051334,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2421,False,"{'a': 0.01, 'e': 0.08892161745938634}",25,15,-7.600858533171388,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
2422,False,"{'a': 0.01, 'e': 0.08883274028791908}",30,8,18.634790195866817,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
2423,False,"{'a': 0.01, 'e': 0.08874395194919957}",20,3,31.184635730330545,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2424,False,"{'a': 0.01, 'e': 0.08865525235443938}",25,5,-27.264220231975195,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
2425,False,"{'a': 0.01, 'e': 0.08856664141493896}",20,13,12.724769519137707,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2426,False,"{'a': 0.01, 'e': 0.08847811904208727}",30,13,26.643122749738094,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2427,False,"{'a': 0.01, 'e': 0.08838968514736205}",35,4,23.536776375038762,"{0: 28, 1: 1, 2: 2, 3: 0, 4: 0}",1
2428,False,"{'a': 0.01, 'e': 0.08830133964232935}",25,6,-14.508732974363975,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
2429,False,"{'a': 0.01, 'e': 0.08821308243864363}",25,9,28.38472630584459,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2430,False,"{'a': 0.01, 'e': 0.08812491344804767}",30,1,40.75501902140618,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
2431,False,"{'a': 0.01, 'e': 0.08803683258237255}",20,6,29.12574802572359,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2432,False,"{'a': 0.01, 'e': 0.08794883975353733}",20,8,20.731136899086252,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2433,False,"{'a': 0.01, 'e': 0.0878609348735492}",20,15,7.066002334915536,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2434,False,"{'a': 0.01, 'e': 0.08777311785450327}",20,6,6.909551147439306,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
2435,False,"{'a': 0.01, 'e': 0.08768538860858248}",20,14,8.557238936591869,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2436,False,"{'a': 0.01, 'e': 0.08759774704805763}",20,0,20.776866463967387,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
2437,False,"{'a': 0.01, 'e': 0.08751019308528712}",20,6,-1.7117200248778504,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
2438,False,"{'a': 0.01, 'e': 0.08742272663271701}",20,9,-6.592170326467841,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
2439,False,"{'a': 0.01, 'e': 0.08733534760288077}",35,17,4.956349727711844,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
2440,False,"{'a': 0.01, 'e': 0.08724805590839944}",20,0,4.838166769821728,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
2441,False,"{'a': 0.01, 'e': 0.0871608514619813}",20,10,17.89338914776207,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2442,False,"{'a': 0.01, 'e': 0.08707373417642188}",25,10,19.439378169883927,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
2443,False,"{'a': 0.01, 'e': 0.08698670396460385}",20,9,20.70713565702282,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2444,False,"{'a': 0.01, 'e': 0.08689976073949708}",20,8,19.979019879716066,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
