trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1815,False,"{'a': 0.01, 'e': 0.16300082774468777}",25,7,28.84224390179332,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1816,False,"{'a': 0.01, 'e': 0.16283790839019696}",25,1,22.16263415329329,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
1817,False,"{'a': 0.01, 'e': 0.16267515187362808}",25,8,-8.875564763562,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 0}",1
1818,False,"{'a': 0.01, 'e': 0.16251255803222467}",20,12,6.9538638179746,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
1819,False,"{'a': 0.01, 'e': 0.16235012670339277}",25,15,19.249888304686742,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1820,False,"{'a': 0.01, 'e': 0.16218785772470118}",35,13,31.970722325143218,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
1821,False,"{'a': 0.01, 'e': 0.16202575093388075}",20,16,9.020169127655363,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1822,False,"{'a': 0.01, 'e': 0.16186380616882481}",20,0,22.20192988644036,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1823,False,"{'a': 0.01, 'e': 0.1617020232675885}",30,15,24.81029707020679,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1824,False,"{'a': 0.01, 'e': 0.16154040206838896}",20,15,12.05079084714523,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1825,False,"{'a': 0.01, 'e': 0.16137894240960493}",25,0,22.055306841729895,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1826,False,"{'a': 0.01, 'e': 0.16121764412977677}",20,4,19.394665728855156,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
1827,False,"{'a': 0.01, 'e': 0.16105650706760616}",20,16,5.516242863440805,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1828,False,"{'a': 0.01, 'e': 0.16089553106195606}",20,14,9.389897357342308,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1829,False,"{'a': 0.01, 'e': 0.16073471595185038}",20,13,14.237585017671641,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1830,False,"{'a': 0.01, 'e': 0.1605740615764741}",20,16,9.760068430058968,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1831,False,"{'a': 0.01, 'e': 0.16041356777517274}",20,0,-29.882201366394067,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
1832,False,"{'a': 0.01, 'e': 0.16025323438745256}",25,12,-15.14681347306161,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
1833,False,"{'a': 0.01, 'e': 0.1600930612529801}",25,18,6.677277080013463,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
1834,False,"{'a': 0.01, 'e': 0.15993304821158225}",30,15,14.638782398156923,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1835,False,"{'a': 0.01, 'e': 0.15977319510324592}",20,15,8.32389705363082,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1836,False,"{'a': 0.01, 'e': 0.15961350176811803}",20,5,21.006351990109025,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1837,False,"{'a': 0.01, 'e': 0.15945396804650516}",30,19,19.883397336144988,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1838,False,"{'a': 0.01, 'e': 0.1592945937788737}",25,12,21.627924691966378,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1839,False,"{'a': 0.01, 'e': 0.15913537880584921}",20,13,13.953464163166377,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1840,False,"{'a': 0.01, 'e': 0.15897632296821687}",20,14,10.116231277717137,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1841,False,"{'a': 0.01, 'e': 0.15881742610692068}",30,17,-16.722891937751424,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
1842,False,"{'a': 0.01, 'e': 0.15865868806306388}",20,7,6.676427748317329,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
1843,False,"{'a': 0.01, 'e': 0.1585001086779083}",20,11,4.303774720107378,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1844,False,"{'a': 0.01, 'e': 0.1583416877928747}",20,0,28.174591940213034,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1845,False,"{'a': 0.01, 'e': 0.15818342524954201}",30,17,13.385316367403522,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1846,False,"{'a': 0.01, 'e': 0.1580253208896478}",20,0,28.117584678362647,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1847,False,"{'a': 0.01, 'e': 0.1578673745550876}",30,14,-4.02155048845885,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
1848,False,"{'a': 0.01, 'e': 0.15770958608791516}",20,10,11.61968172354218,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
1849,False,"{'a': 0.01, 'e': 0.15755195533034191}",20,15,9.77511926361263,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1850,False,"{'a': 0.01, 'e': 0.15739448212473714}",20,4,10.403724899973058,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
